shortname;fullname;category;summary;format;numsections
INFO_BASIC_101;Alfabetización Digital y Hardware;1;Curso introductorio sobre hardware y software;topics;4
CLOUD_AWS_101;Introducción al Cloud Computing con AWS;1;Curso sobre fundamentos de la nube y arquitectura AWS;topics;4
